"x"
"RP11-144F15.1"
"CKAP5"
"COQ9"
"KIF4A"
"RNF168"
"NCAPD2"
"KIF18B"
"USP37"
"EED"
"FIGNL1"
"MYH11"
"TCTA"
"LETMD1"
"TOPBP1"
"KNSTRN"
"CENPL"
"SLC26A1"
"SPAG5"
"DLGAP5"
"RNF26"
"PRSS57"
"ARHGAP11A"
"BRIP1"
"KLKB1"
"CDCA4"
"CEP192"
"BLM"
"RBM14"
"CDC7"
"FBXO5"
"FANCI"
"PSMC3"
"RAB6A"
"BUB1B"
"TOP2A"
"NAALADL1"
"MT-CO2"
"SERINC4"
"PASK"
"SGOL1"
"C4orf45"
"ACYP1"
"PRIM1"
"PRR11"
"ERCC6L"
"DDX11"
"EXO1"
"MAD2L1"
"BUB1"
"TRA2B"
"RPS8"
"CEP55"
"ESCO2"
"CKAP2L"
"SEC61A1"
"TACC3"
"MASTL"
"DSN1"
"GINS3"
"MTFR2"
"E2F7"
"RFC5"
"SPC25"
"TYMS"
"MKI67"
"EP400"
"CDT1"
"SRSF1"
"HJURP"
"RMI2"
"MND1"
"PKMYT1"
"GINS1"
"TIMELESS"
"NEIL3"
"SGOL2"
"DEPDC1"
"CDK1"
"EHD4"
"RETSAT"
"LYRM9"
"E2F8"
"UBE2T"
"MYBL1"
"TICRR"
"KIF20A"
"NCAPG2"
"FAM72B"
"POU2F1"
"HIST1H2BL"
"TPX2"
"CDKN3"
"NUF2"
"ORC1"
"HSD17B6"
"NDE1"
"MCM7"
"HEXA"
"PTTG1"
"KIF11"
"TNFAIP8"
"TTK"
"MELK"
"ATAD2"
"RPL3"
"GPR146"
"HAT1"
"HELLS"
"AC004381.6"
"CKAP2"
"CDCA2"
"RRM1"
"TUBA1B"
"CDCA8"
"CHAF1B"
"CDC45"
"FAM219B"
"MCM10"
"BARD1"
"KIF20B"
"SHCBP1"
"CENPK"
"POLD3"
"TCOF1"
"RIF1"
"HAUS6"
"HNRNPL"
"WDHD1"
"POC1A"
"PPM1G"
"NEIL1"
"MFSD11"
"NT5DC4"
"SASS6"
"KIAA1524"
"FOXM1"
"NUSAP1"
"TROAP"
"CDNF"
"ESPL1"
"PCNT"
"CENPA"
"CCNF"
"SNRNP40"
"PSRC1"
"KIF2C"
"KIF15"
"POLA2"
"STMN1"
"HNRNPH3"
"H2AFX"
"FEN1"
"LMNB1"
"C5orf24"
"RPS11"
"POLQ"
"TMEM194A"
"MMS22L"
"GPR137C"
"E2F1"
"ANLN"
"ITGB3BP"
"OIP5"
"MR1"
"SRSF3"
"DDX23"
"CCNA2"
"PRC1"
"RAD51"
"MCM8"
"MYBL2"
"ZWINT"
"ASPM"
"CENPF"
"YWHAQ"
"GTF2IRD2B"
"FAM83D"
"ATAD5"
"ALMS1"
"EIF4H"
"RWDD2A"
"BIRC5"
"NEK2"
"RNASEH2A"
"TRAF2"
"SKA1"
"MCM2"
"CDCA3"
"PRF1"
"CENPO"
"ARL6IP6"
"HMGB2"
"CASC5"
"ZFAND3"
"POLE"
"CDC25A"
"PPP5C"
"DTL"
"EDEM2"
"RAD51AP1"
"AURKB"
"KNTC1"
"CENPH"
"FAM72D"
"SNRPB"
"CIT"
"PLK4"
"DCLRE1B"
"HMMR"
"HIST1H1E"
"TMEM201"
"HNRNPM"
"WEE1"
"STIL"
"KPNA2"
"LBR"
"CENPI"
"BUD13"
"PLK1"
"KIF2A"
"DHFR"
"SMC4"
"KIF23"
"E2F2"
"AC087645.1"
"KIFC1"
"FAM64A"
"RACGAP1"
"RABL2B"
"KIF14"
"GRHPR"
"CCNB2"
"MAZ"
"CDCA5"
"RP1-127H14.3"
"INCENP"
"AURKA"
"BZW1"
"SRSF2"
"GDPD1"
"KIAA0101"
"SUMO2"
"NRM"
"GTF2IRD2"
"CHAF1A"
"LIG1"
"NCAPG"
"TCF19"
"PCNA"
"CLSPN"
"RBL1"
"NDC80"
"CDC25C"
"GTSE1"
"STRA13"
"KIF22"
"CDC6"
"NCAPH"
"ADH1A"
"HCFC1"
"NASP"
"PIF1"
"SCLT1"
"RRM2"
"FUS"
"PBK"
"NRF1"
"CCNB1"
"USP1"
"LYG1"
"TMPO"
"SNRPD1"
"EZH2"
"FN3KRP"
"C18orf56"
